grammar_symbol,regex_type,key
STAGE,stage_1,stage
STAGE,stage_2,stage
RISK,risk_1,risk level
RISK,risk_2,risk level
RISK,risk_3,risk level
STAGE,degree,degree
STAGE,stage_3,stage
STAGE,stage_4,stage
STAGE,stage_5,stage
DAMAGE,damage_1,damage level
DAMAGE,damage_2,damage level
SCORE,stage_6,score
SCORE,stage_7,score
SCORE,stage_8,score
SCORE,stage_9,score
STEMI,diagnosis,STEMI
PTKA,diagnosis,balloondilatatsioon (PTKA)
ANGIOGRAPHY,diagnosis,koronarograafia (SKG)
LBBB,diagnosis,LBBB
THROMBOLYSIS,diagnosis,trombolüüs
SHUNT,diagnosis,aortokoronaarne šunteerimine
STENT,diagnosis,stentimine
SPECIFICATION,diagnosis,lisainfo
THROMBECTOMY,diagnosis,trombektoomia
HEMIPARESIS,diagnosis,hemiparees
STENOSIS,diagnosis,stenoos
STENOCARDIA,diagnosis,stenokardia
FIBRILLATION,diagnosis,fibrillatsioon
STAGE,r1,cancer stage
STAGE,r2,cancer stage
STAGE,r3,cancer stage
STAGE,r4,cancer stage
STAGE,r5,cancer stage
STAGE,r6,cancer stage
NUMBER,anynumber,number
NUMBER,int,number
NUMBER,commanumber,number
NUMBER,numbercomma,number
NUMBER,datenum,number
DATE,date1,aeg
DATE,date2,date
DATE,date3,date
DATE,date4,date
DATE,date5,partial date
DATE,date6,partial date
DATE,date7,partial date
DATE,date8,partial date
DATE,date9,partial date
TNM,tnm,TNM
Gleason,gleason,gleason
