_token_,_type_
string,string
päevas,other_unit
kv,other_unit
KK,other_unit
WK,other_unit
PÄEV,other_unit
pv,other_unit
biopsiat,other_unit
sigaretti,other_unit
kassetti,other_unit
pakki,other_unit
tassi,other_unit
klaasi,other_unit
embrüot,other_unit
sekundi,time
seanssi,other_unit
päsmakest,other_unit
šunti,other_unit
suitsu,other_unit
PROTSEDUURI,other_unit
proovitükki,other_unit
neeruarterit,other_unit
originaali,other_unit
portaalvälja,other_unit
kruusi,other_unit
tasapinda,other_unit
pudelit,other_unit
karpi,other_unit
implantaati,other_unit
veenišunti,other_unit
aastat,time
päeva,time
korda,time
kuud,time
nädalat,time
kraadi,other_unit
tundi,time
minutit,time
palli,other_unit
tabletti,other_unit
sekundit,time
tilka,other_unit
lööki,other_unit
meetrit,other_unit
grammi,other_unit
punkti,other_unit
liitrit,other_unit
KORDA,time
kapslit,other_unit
mikrogrammi,other_unit
põikisõrme,other_unit
kilo,other_unit
ühikut,other_unit
ampulli,other_unit
ravipäeva,time
AASTAT,time
KUUD,time
õhtut,time
aasta,time
hommikul,time
õhtul,time
ööseks,time
vajadusel,other_unit
nädalas,time
kuus,time
