,Entity,PER,ORG,LOC
673,Vabariigi,7.0,292.0,16571.0
314805,vallas,0.0,8.0,13979.0
26,linna,2.0,47.0,12226.0
1193,riigi,1.0,1.0,9541.0
314676,külas,0.0,6.0,7424.0
1165,Liidu,217.0,49963.0,7366.0
314802,valla,0.0,26.0,7049.0
314686,linnas,0.0,4.0,6475.0
314712,riik,0.0,2.0,6428.0
92,Liit,83.0,9392.0,5629.0
315192,vald,0.0,15.0,5225.0
1162,küla,3.0,12.0,5104.0
314889,linnaosa,0.0,77.0,5001.0
314704,linn,0.0,12.0,4785.0
314806,Liitu,0.0,4522.0,4541.0
314794,maakonnas,0.0,22.0,4334.0
315073,riikide,0.0,7.0,4195.0
1458,Vabariik,18.0,125.0,3992.0
82,jõe,4.0,71.0,3859.0
1021,Liidus,1.0,3208.0,3706.0
1601,Ühendriikide,17.0,36.0,3682.0
41,Vabariigis,1.0,68.0,3345.0
314729,mere,0.0,34.0,2972.0
314747,lahe,0.0,7.0,2781.0
329,järve,1.0,58.0,2596.0
314981,maakonna,0.0,43.0,2572.0
314864,riigis,0.0,2.0,2413.0
314810,ookeani,0.0,9.0,2391.0
314684,saarel,0.0,2.0,2388.0
314900,osariigis,0.0,3.0,2253.0
417494,riigile,0.0,0.0,2211.0
294,Ühendriikides,3.0,39.0,2161.0
315309,maantee,0.0,37.0,2029.0
417517,riikides,0.0,0.0,2006.0
314683,saare,0.0,18.0,1965.0
417519,riigid,0.0,0.0,1937.0
4271,Ida-Euroopa,19.0,134.0,1800.0
1279,Föderatsiooni,12.0,308.0,1680.0
314705,linnale,0.0,9.0,1551.0
417527,riiki,0.0,0.0,1542.0
314909,Ühendriigid,0.0,11.0,1471.0
315790,osariigi,0.0,6.0,1389.0
73,Mare,190.0,169.0,1383.0
417507,lahel,0.0,0.0,1374.0
14,Yorgis,2.0,3421.0,1362.0
4706,Araabia,12.0,12.0,1353.0
314910,linnaosas,0.0,21.0,1280.0
315786,valda,0.0,1.0,1253.0
314976,lahes,0.0,5.0,1192.0
315476,maanteel,0.0,2.0,1182.0
315083,vabariigi,0.0,6.0,1169.0
419,külla,1.0,2.0,1167.0
4694,oblasti,1.0,12.0,1116.0
315308,vallast,0.0,5.0,1099.0
3232,poolsaare,1.0,18.0,1052.0
314987,linnast,0.0,5.0,1033.0
315131,oblastis,0.0,2.0,1023.0
314773,poolsaarel,0.0,1.0,1001.0
4300,Vabariiki,2.0,27.0,975.0
4798,Kuningriigi,4.0,104.0,929.0
2467,.,468.0,10934.0,921.0
1264,B,1093.0,581.0,918.0
315087,saarte,0.0,6.0,903.0
1243,NSV,7.0,302.0,884.0
275,City,287.0,2205.0,868.0
417505,riigil,0.0,0.0,847.0
314800,saarele,0.0,9.0,831.0
417531,külast,0.0,0.0,824.0
18,Yorgi,44.0,4137.0,793.0
314855,jõel,0.0,5.0,785.0
417516,riikidest,0.0,0.0,785.0
314919,Vabariigile,0.0,4.0,781.0
417526,riike,0.0,0.0,773.0
417513,saartel,0.0,0.0,743.0
315307,maakond,0.0,7.0,741.0
314691,Liidule,0.0,1363.0,705.0
315105,järvel,0.0,2.0,688.0
6740,Lanka,3.0,7.0,684.0
417520,riikidele,0.0,0.0,674.0
2972,jt.,1010.0,496.0,657.0
316059,Liitvabariigi,0.0,24.0,655.0
4097,Balti,301.0,454.0,642.0
315312,Vabariigist,0.0,23.0,634.0
315160,lahte,0.0,1.0,627.0
4643,Venemaa,50.0,207.0,626.0
317946,järves,0.0,3.0,617.0
417534,riigist,0.0,0.0,591.0
4929,Ühendriikidesse,2.0,0.0,583.0
9864,Kuningriik,13.0,29.0,575.0
417540,meres,0.0,0.0,567.0
314674,Ühendriikidest,0.0,2.0,564.0
512,Liidust,1.0,1566.0,543.0
2169,saar,4.0,8.0,531.0
1453,Tartu,541.0,485.0,502.0
1752,jõgi,2.0,11.0,496.0
315125,vallale,0.0,1.0,488.0
319804,alevikus,0.0,4.0,486.0
417498,saartele,0.0,0.0,460.0
1944,Citys,2.0,273.0,456.0
417514,merel,0.0,0.0,452.0
